,Episode Reward
163,241.04410360570142
164,205.35530946356647
165,269.97607212993137
166,239.33612693823588
167,232.30884159546468
168,233.29384052462095
169,248.19602192283028
170,205.72729323673116
171,226.08818566647363
172,236.4452442159125
173,243.9660233545023
174,235.59914028591257
175,250.17851385048937
176,255.25828359910582
177,220.12871472500171
178,227.96873236384647
179,228.00817332314864
180,267.85063561091715
181,222.10174989505182
182,241.3385920393105
183,239.08124806321513
184,250.9651097151124
185,265.3226693260465
186,244.1681341692535
187,87.95220549516888
188,264.7175924763426
189,251.97713857475722
190,208.4519532241677
191,250.6775041856391
192,265.1944340474208
193,208.95805199679128
194,238.86108368778923
195,231.27352526026215
196,247.15613219099768
197,262.8654780163345
198,204.44417845318884
199,220.3618603471396
200,215.11728350248143
201,212.82176624944913
202,247.54686010613844
203,234.04615016445945
204,258.58148553360707
205,241.3555861032766
206,220.59476063076775
207,240.94073414593555
208,226.67753262757807
209,237.1284982338568
210,270.64467462146604
211,224.536225565153
212,220.63598307198427
213,217.8252362571242
214,236.02132130363876
215,238.1010507394157
216,22.505441549969476
217,22.141377057191534
218,227.18276218880135
219,241.60336258954567
220,211.79890468018766
221,225.75300640245968
222,214.52120879041524
223,256.1512898576824
224,240.88691107355396
225,135.77182402911467
226,246.46953521015658
227,245.7812815611425
228,262.9764237025865
229,-274.449316005705
230,209.43923556579455
231,271.73235717255193
232,245.2481460762894
233,238.07350002155505
234,227.45224114004492
235,250.6921488890559
236,228.829929786305
237,250.53699092750338
238,252.2800602556052
239,257.312147742937
240,263.2629172676298
241,93.82827429989224
242,235.92801220741322
243,231.26896335060184
244,267.3103591966675
245,225.56006415401902
246,231.10810711391196
247,255.29477001776957
248,97.6175106215833
249,222.35763605061283
250,210.82949241232018
251,234.58391191968067
252,218.7195770551727
253,211.71869547124697
254,216.8904238623208
255,229.88919747352023
256,237.60087465832842
257,209.08507647001136
258,252.76262392613495
259,232.66402327274136
260,251.51349447488118
261,246.4424115375529
262,238.9549543584859
263,230.04170490544195
264,201.75579611909603
265,251.37035149427416
266,230.78050110722808
267,282.83678443954904
268,239.9240133988589
269,221.06942837972855
270,263.1638329036568
271,254.14259093423502
272,242.27209049873753
273,259.6792215240388
274,206.07388853857927
275,238.4072469536669
276,259.46079387118925
277,243.01148964225982
278,210.88829107201863
279,267.9288784579576
280,250.4578450263941
281,252.87355473960648
282,229.65881923884055
283,246.36300348174115
284,203.55037427282105
285,237.52774083000352
286,226.38631759837435
287,228.91651842307016
288,232.45488524730476
289,237.54431641458262
290,254.48039184584704
291,219.84334317441002
292,265.63420620263867
293,224.31580065819614
294,264.52918480927406
295,241.829762543151
296,238.21158502106425
