,0.0001,0.001,0.01,0.1,1.0,10.0
61,-109.18772352276608,-132.95633148122758,-368.570038963182,-779.833368940645,-789.3166387874127,-395.0929386767002
62,-106.25262064721302,-133.24258634558248,-370.2705922617393,-774.646417519165,-791.2645419846814,-397.75121124535565
63,-103.88640085702934,-133.37045667445093,-366.23188929150655,-776.6449276845406,-792.1515025710562,-397.91384095891226
64,-99.35079546002152,-133.5384844840862,-367.97389493100013,-778.1468518133725,-788.8098946829642,-399.11680847040844
65,-96.94394207952092,-132.67932168083894,-366.83897702791336,-776.9524148888825,-788.4169200524184,-400.3807537935582
66,-94.6856049456135,-131.87053986462485,-366.8649154732687,-775.998189528164,-779.3745909190399,-400.28998193659055
67,-92.1348367223668,-131.48017744108137,-363.93866922746935,-771.8637060132407,-781.0908216031098,-400.9084721987079
68,-91.00644500263311,-130.9460199246525,-356.9251897509026,-776.4168952899141,-779.1413195389089,-398.6629899228636
69,-90.6905126247326,-130.76856176863853,-360.42852534123267,-776.5906556426,-777.4594104892542,-401.9873946641266
70,-90.62815334604214,-131.2018831853729,-357.89637829500515,-782.963813482092,-769.5911627277768,-400.67180535707433
71,-90.9486179454646,-131.29745023806706,-360.41770784907385,-786.996523918848,-773.7319791658147,-398.8533728892065
72,-90.65540549447425,-131.84506066564927,-357.4607182360695,-787.3272167329924,-799.0581377126474,-399.9875555384273
73,-92.49147028329018,-131.60010335350518,-360.9485949185428,-788.8621385951924,-800.1795525998906,-395.61892490429796
74,-88.6361025896173,-131.72919861974077,-360.5721948432331,-797.5491825561793,-797.2052928061747,-395.3832178252007
75,-89.48896380350028,-132.2073995872753,-354.6484144376016,-798.8584898214312,-802.6203162309413,-393.1161093585667
76,-87.36625693637818,-132.02006087979504,-352.2035505674171,-793.9336263455814,-801.1225855274502,-392.12858862281774
77,-87.08783417728574,-132.35016478038776,-351.8780221369306,-795.2691999798761,-780.3975635329755,-393.8577325785489
78,-83.55653396113479,-133.13976501104437,-352.6429955854555,-791.3905557447516,-781.0275233399038,-395.2937234307348
79,-82.80573458400477,-132.44099378981738,-351.77008502391385,-789.3987238117909,-780.572124520943,-392.57998415756015
80,-80.53244435991598,-132.59969076858772,-342.4353021441355,-785.0590148819585,-779.6838070584432,-392.86014950260994
81,-77.43367266140265,-132.37985354265263,-338.334891186262,-785.9753919611946,-814.9504716494857,-392.5646850796813
82,-75.96374862163324,-132.99858563481297,-336.90189724335704,-769.203009466462,-815.0926638673711,-390.7586786388357
83,-73.57904935683,-133.5267504868307,-330.29146970100027,-771.4684004222067,-799.8405752352546,-390.3827555860395
84,-70.49121466777166,-133.68599784534712,-322.3699544088412,-772.0819966337543,-799.587535411626,-389.3081755505793
85,-69.56819709742949,-134.1162059431035,-311.42470644236926,-773.3305862111222,-801.363905487724,-389.331764270872
86,-67.7875118667168,-133.87885794330867,-306.1240568723368,-771.9598183192498,-809.2495337266279,-390.1195255602096
