,0.4,0.3,0.25,0.2,0.1,0.05
67,-132.42966361297684,-133.05832231140957,-14.862675861253225,-417.3850578127626,-280.9528820448322,-125.2516359437131
68,-131.74472535951244,-132.48846089895042,-13.920362376340618,-416.62629766174473,-280.4853773809475,-126.5026213737696
69,-132.11131776291128,-131.3333370913918,-11.528151979302347,-416.57650696001326,-279.36115362923965,-126.41556077854665
70,-132.26385196978458,-131.38552725721217,-13.192477135007907,-414.5525215559457,-274.33387794866866,-124.74627342156576
71,-132.33212071963726,-130.40513462822764,-12.99258547597048,-414.90366513972447,-277.70967325004585,-124.19589617819963
72,-133.0403746453185,-130.9908968028733,-12.519509226879043,-412.5608608822394,-275.7401629000087,-123.06428240523589
73,-133.90951015151109,-131.04191278371292,-11.3545495732575,-408.96508097337,-276.0063002036655,-121.5637215729356
74,-133.71246984020297,-131.0924058526477,-10.957318489667946,-406.3846828512952,-273.7851325568626,-120.12734484451981
75,-134.9638009346332,-130.35815621278562,-8.31615152725431,-407.02704866241845,-281.53565863262884,-115.65403779346465
76,-135.5144174959767,-129.5779987236402,-7.562476174830852,-404.08601714182964,-279.54371194786995,-115.82950189714288
77,-135.63199001657475,-129.7738069598653,-7.547414332764995,-401.83988619923184,-278.73382018653496,-113.51645631264385
78,-136.15247105919227,-130.23106060577243,-2.441005307899879,-403.5358810825933,-277.6258672502034,-107.71110361899723
79,-135.6968251965107,-130.40906981819816,-0.6836175952300478,-402.1942755090734,-276.7108285691565,-107.85863096490495
80,-136.01411425354942,-132.1084446113483,2.282495121118187,-400.38142901889245,-272.72903362552427,-107.97897643019043
81,-135.8752500580344,-132.20861237276867,2.508764679941058,-393.0453694014933,-272.5344296547229,-108.57883202180426
82,-136.283692853037,-131.368588044015,2.76609460435141,-391.8005708878022,-272.47914731517545,-108.26202466448956
83,-136.06791477662046,-129.87940094431517,4.1202501940237894,-393.582379453144,-268.271277608502,-106.5588059065445
84,-136.34541957120592,-128.7351787890081,5.560840314664888,-395.0026250490753,-262.64239732070996,-105.94567806814588
85,-135.75142621958838,-129.1716431548157,8.43358633598445,-390.3817184945632,-260.1750159486102,-106.09571527854911
86,-136.3610560952128,-130.0664766737088,10.80331752992986,-388.1443359538462,-256.08167406469795,-105.37867505495464
87,-136.4402295148902,-129.9647368050361,13.550450672180085,-381.61116257156,-254.45277513922417,-105.02737339983949
88,-136.77833080657524,-131.58169423248583,15.371571461509712,-377.76703312733827,-251.22154248962178,-103.34820550592013
89,-136.37355472151924,-131.19749606120516,18.577914707532276,-377.2096381019638,-253.2593756932314,-102.32522486409628
90,-136.8295235693697,-131.2260155482035,20.259559663295153,-373.79062131304016,-253.87503019945262,-102.01464496549403
91,-136.5954884886577,-130.10500737429248,23.472715959773517,-375.01316982090447,-254.115957844284,-100.98521735518734
92,-135.84899933792866,-130.66752988665098,24.414056768578586,-364.7447912250542,-254.53217052263415,-101.9370552242592
93,-135.62051071371957,-128.9150729817554,27.736036166285498,-364.4978102316978,-249.83592107549924,-102.6187292244914
94,-135.2796134336049,-128.7659787877804,28.396219858000837,-357.66828568339355,-245.27377769105544,-102.18546857950263
95,-134.97228196117885,-128.98854288705567,30.184577205878213,-351.1238494979969,-260.7164239936157,-100.48394360678454
96,-135.25439959641227,-129.93887742581194,32.46273088815874,-349.3100919751315,-260.6042781656477,-99.56941735065219
97,-135.23285629267667,-129.87055756079627,31.634644444056647,-346.53518885989854,-253.11343903258398,-95.787618245174
98,-135.265595018429,-130.37024412932305,31.905165876496408,-330.79053993629793,-251.99146395241303,-95.63785792399851
99,-134.59805549363352,-130.83936115961612,31.795056935223588,-330.25008025203334,-249.6801309630684,-95.5735005801608
100,-134.96841108012907,-131.25954647389787,32.419202763774905,-328.95634349182893,-244.53602966825423,-95.32519681824688
101,-134.91545993357272,-130.5211870383625,33.16381498137695,-328.52413829011545,-240.67883479253084,-95.12539392259376
102,-134.6718809858859,-130.5854421969849,35.99039713128997,-326.0553683619709,-237.89772900883315,-95.85708232761874
103,-134.11132921249805,-130.39714986293018,36.53124689815294,-305.82862401316925,-234.33260351582402,-95.79298346729185
104,-134.93249952134528,-132.0261813822442,37.44548300670495,-267.30743758147275,-228.19543669506822,-95.71323924370739
105,-135.41707899299533,-131.7114167137916,38.76628028981832,-233.48861188228125,-222.7370594169654,-95.44658972737078
106,-135.58775682277462,-132.78857862923115,39.05482939711384,-227.58997214743596,-219.21313779903764,-96.47635504580097
107,-135.43705105004935,-132.72331894607245,42.03492240308866,-222.23355613158847,-220.7348225081137,-97.0730921892278
108,-135.21750735503534,-132.74145792873387,42.43181235817793,-218.76285700766456,-221.2530817549602,-96.47224129179351
109,-135.09740006565235,-132.37769435723686,42.71979638872289,-193.01602907944584,-215.7557364171559,-93.8960393533001
110,-134.8463389258698,-132.4898593504077,44.09780493278403,-174.4972318171339,-214.0151778791192,-93.32169795751973
111,-133.12542402799522,-132.42126682969598,45.553819367363765,-161.65230200008594,-213.63512579191718,-92.60430860387453
112,-133.10423752211304,-133.29749973667765,47.18828225214368,-143.12546374421035,-210.96871583231467,-91.78936163060443
113,-132.93483698529818,-133.38486294108782,45.133921089812766,-139.45124697556622,-204.8828755579564,-90.78826250947378
114,-133.03771205507445,-132.90311795177834,46.240258608326975,-129.47654579312612,-195.17023080271557,-90.8984913475333
115,-132.68483396332726,-132.64161760069325,48.63588453458446,-123.1774257688635,-189.57412464933594,-91.86165006095463
116,-132.33015330904894,-132.35043979479445,50.14735283371014,-102.43776307485032,-184.61122276702372,-91.9693423405972
117,-131.9079130225331,-132.2570639259155,51.3420535498321,-89.49046571086161,-180.80386081813174,-91.58428309887964
118,-134.62381962879599,-132.05434009063697,52.94424116712449,-82.35706214267441,-176.85764859400933,-90.87003328618768
119,-136.49600634831947,-131.81128500957274,54.180960735084454,-77.49400859724064,-174.8248178105613,-90.77625108831971
120,-136.26022579294744,-131.43299709100987,54.47123974505614,-75.11318841838676,-174.84117638898815,-90.84580516952855
121,-136.0416486797683,-131.47791306933908,52.64407295997603,-73.76074952783556,-173.1757149370812,-91.85355000390693
122,-135.68375141700253,-133.52322015092727,51.51949956065228,-75.743157254823,-173.4214688613313,-91.04105983021685
123,-137.2411159549286,-133.26845571579676,50.11462776522476,-75.96183744582041,-172.05496643785906,-91.08902585587073
124,-137.82785186627342,-133.80933099307111,47.20212683438177,-74.87131909623241,-168.21971207945245,-88.96996497869748
125,-137.3367089815049,-134.0649685439981,48.48771828934393,-73.55959721891506,-168.39776132292363,-88.49868452258477
126,-138.19877606194652,-134.25106900082883,48.56125841400892,-73.67091451538415,-168.67457953337535,-87.4669495803655
127,-138.06458931345387,-134.42610135766247,51.15244253091301,-71.38738980131204,-170.95257388963168,-86.62059257869387
128,-138.29730890089954,-135.00699978662672,52.296185521034296,-69.65019641629344,-170.9918564354997,-83.91658346758487
129,-137.3988193296879,-135.28387087959808,51.23602554109545,-67.76403265755336,-172.0474206008544,-83.763464890287
130,-137.18724687860168,-134.90978839701327,53.02939660550949,-65.59038402459781,-173.06503185236568,-83.24711585909522
131,-138.7612483038465,-135.5038987869561,54.16915807138271,-66.69783785562133,-172.27694020294715,-83.83708306723027
132,-139.11591223029143,-135.62505869697807,56.488808555672094,-62.12454949400522,-174.31049267802547,-85.64133194623646
133,-138.81000616179176,-136.15298239755725,57.90809213138134,-60.04459453379188,-175.8612463728572,-85.63456552970149
134,-139.00998098171274,-135.73905299914324,58.12402485003518,-61.01674943795413,-178.27232958269062,-84.18556951481794
135,-138.6170288708521,-134.4632139307863,60.66603218720754,-56.33553272529967,-179.04859555554492,-82.64374119100195
136,-138.85214101380487,-134.22876775923132,63.93673620283175,-56.15952344054986,-178.7838598586467,-82.82049567435713
137,-138.78892163871424,-134.40551591377033,66.72443115072913,-53.98604568691679,-178.60270473676673,-81.74212934274139
138,-139.32271008267335,-136.05435077494502,70.63854618078246,-52.141566398053456,-179.6031397107874,-80.62305592468776
139,-138.1702802450295,-133.80902953192634,72.04383487180198,-47.84480879343951,-181.26566359924698,-80.54480646456675
140,-138.45800588193194,-133.3306048332025,73.65853925125592,-46.1861614600769,-181.79735871113581,-80.83693222658374
141,-138.66945922602994,-133.39103346400722,74.50312609071214,-45.22378017111977,-182.9818245720602,-80.48103017553794
142,-138.7793077697439,-132.83118987174717,77.84138791209725,-40.43748293652803,-183.83729304142088,-80.33174216989946
143,-139.40730765084905,-132.91406488006058,79.23839753552927,-36.43928755742676,-185.1989982654358,-79.1056375660627
144,-140.07276133305717,-133.12273066035564,81.13104140628332,-32.79395478177761,-185.57880930430983,-77.9871005639803
145,-140.39522885121798,-133.2786350787329,83.26558945888424,-31.22865522186258,-185.52221336248874,-76.98393702871348
146,-142.1687205552912,-133.63664715425924,86.98829732706004,-28.45084283920369,-186.7111809081215,-77.56458707637888
147,-140.49016792375352,-135.11852344506244,88.78294915399985,-26.104019891638963,-187.5214380490075,-78.74051286686922
148,-139.2055589086714,-135.01430149272863,88.19722971220993,-22.724801557138743,-188.19566813371654,-80.42588306099852
149,-139.09975892496522,-135.05785156484075,91.11119498504942,-18.818507639543757,-189.24172111904306,-79.71782744422056
150,-139.37824824712703,-134.928240902711,92.50874660141184,-17.52593276279884,-189.6568884407692,-81.36853709728524
151,-139.77241474972539,-134.54154969244684,94.14333626860409,-13.772345526558492,-189.6447760800629,-82.18115914594323
152,-140.03244276554955,-135.04875293246866,96.32538477729896,-11.097002899158099,-178.94566305561915,-85.99940767766266
153,-139.73282482051593,-135.49838145945495,98.45682205429362,-8.028995855050091,-180.17544936233907,-85.62575872002948
154,-140.00526675509911,-135.28624777799573,101.17338703806759,-7.249627972645504,-180.95423782004391,-86.05127473579107
155,-140.965640440755,-134.7746361024664,103.68528286117555,-7.282055425663891,-155.1763011637334,-85.15012272248573
156,-141.40273416337934,-134.97942574349773,107.79904181887399,-2.1828585253011736,-152.89858763285073,-84.19404600893273
157,-141.33911537424316,-135.3403376533491,109.07455962252624,0.4998847619621904,-152.0119233545428,-82.98100198909708
158,-141.48305172556732,-134.98000163509988,110.6931976180195,3.6452875332298214,-150.6345862136462,-84.83525210352535
159,-140.20764246044527,-135.59167011819335,112.33934510632403,1.987827971660505,-145.37529846210612,-85.54061035941622
