,0.99,0.97,0.95,0.9,0.8,0.5
50,-210.14224794433514,-175.56501589663117,-234.00427530887592,-136.84062334063026,-596.3376944463204,-108.77843647785303
51,-208.8205170809497,-171.40421032482402,-233.8888786743889,-136.6036908883823,-593.9299348858922,-106.513556090611
52,-204.54648846235548,-166.52906589368547,-240.85618342726812,-136.8765355239668,-590.8871479688137,-104.65792050396729
53,-200.42114795354684,-163.45336130132225,-238.95635601934578,-136.5826955535157,-586.9460385361776,-105.14103325659144
54,-200.37899102221996,-162.14826327696764,-235.7641101772878,-135.3784851848823,-586.6763777009845,-99.38349211288192
55,-197.94695158652326,-159.82376041387496,-229.99221610812464,-136.949562003673,-589.6600123906811,-98.16974735257952
56,-198.62501017316401,-157.04727449378979,-228.74289499032045,-136.60238420289468,-591.9740730348227,-97.09078507186105
57,-199.81825277088004,-153.66661669055887,-225.52092869803656,-137.29381084679116,-592.7833212559668,-96.37775212063997
58,-199.59986103995058,-150.67971678916453,-224.74233913349354,-136.01473640491545,-591.1268898138566,-94.72808313438055
59,-197.2027630491407,-149.27222251626267,-225.151347593223,-135.52999242069677,-591.4244980451182,-93.69387091970148
60,-198.2730969713868,-146.25208026774482,-225.02247528562745,-135.4366312799342,-594.5192220169457,-91.96595236585483
61,-196.68263736028425,-142.65451241149563,-224.2757915872448,-133.81277919874412,-591.0128888418816,-91.85677565547192
62,-193.1799228662264,-141.22373474842502,-223.17245480005735,-134.78721301029572,-594.1169809241602,-93.09494325436002
63,-193.31699329326852,-138.74303413985632,-223.87541350222767,-135.45541874994478,-590.7130131115193,-92.69961461040158
64,-196.4878329400058,-140.30621314023702,-224.055193169497,-134.7360426290683,-588.268153403556,-90.67036508583304
65,-195.36663049954623,-138.49563613838146,-223.29586629257093,-135.40211465254558,-588.9638426069397,-87.57187849120353
66,-195.14599827135604,-137.5299787587031,-223.33190002188545,-136.28200203553223,-592.3723898334609,-86.04630259019639
67,-193.93351165138574,-135.2979851727709,-223.4795330787498,-137.37207717689094,-591.1539459922155,-85.30862814054316
68,-192.6492415372505,-134.87718033981486,-221.47229033262704,-138.3711604562246,-590.6845561319617,-84.09724531721251
69,-193.3588023653868,-135.03182030293837,-218.25541581855785,-137.52099238366367,-589.7583460414049,-81.1958974833653
70,-194.87485189932954,-135.3589574567813,-217.7203478563602,-138.88756755493634,-589.8766717663066,-79.42503809540898
71,-194.0379624888392,-135.27302056667858,-216.37755520716382,-138.94524129790793,-593.523100090839,-77.03646882985063
72,-194.9345019541706,-135.58010689700504,-214.2889335666917,-138.7166252726454,-591.3672337183913,-77.20299727672698
73,-196.524034110312,-134.29380585523586,-214.0753223929814,-139.6570502792648,-592.9758538181218,-79.36567532364302
74,-197.15180654847907,-131.3359922784533,-216.57437642345826,-140.0882304559275,-589.8716867628823,-81.04017122192273
75,-198.54022067023104,-129.3789647627085,-215.29518776725595,-140.37881239639074,-592.0513419809838,-78.82529901982109
76,-199.45521351014247,-127.92272254432035,-212.77396197506823,-140.11118246038103,-595.6678399120216,-81.24764627058235
77,-201.97351955200958,-128.1167555772674,-212.40609719091398,-139.83600775100243,-594.0155898512816,-80.1462634226102
78,-198.13615381786153,-127.37962697833169,-211.84767285122606,-141.1355552921043,-592.0640360104451,-78.20192155302739
79,-193.90165425180442,-125.50464598101577,-212.04957147554722,-141.74290141857048,-588.9651165731362,-77.43774758642253
80,-194.23570522303223,-124.05216288589523,-210.89159983057004,-141.6697871035791,-584.4275133965804,-79.71388710138929
81,-196.77757343925092,-122.66554402997397,-210.3477709628034,-141.86180576078223,-585.9516619624137,-82.93269476940024
82,-197.75806409992398,-122.00688037081892,-208.33423583360798,-141.6373912797669,-585.2336564210975,-79.72056888270694
83,-198.22057348113688,-121.74537032547059,-209.81050216012227,-141.5697319315693,-580.3392843712986,-79.36040473603175
84,-198.41543244946726,-122.73242852225428,-208.20597931077464,-140.91059864372144,-580.0169020894208,-81.30729397730089
85,-198.54484903762932,-119.39760402550378,-206.92092057496103,-141.1946881482094,-581.8373023383268,-85.15960141183749
86,-198.3323052640283,-121.19883816816062,-206.7856556087878,-141.71610580441512,-581.5873260158407,-85.02258046890356
87,-197.7152764240048,-121.25868252626806,-206.19426901069616,-142.90121868915924,-576.9655038152974,-87.34818339388795
88,-196.06259887262323,-122.52020475523294,-205.53976898861683,-142.95352911391146,-579.5334482264167,-83.36098512331895
89,-201.58126351214452,-122.7361808735555,-204.75321924120948,-142.8454199378114,-581.4398529466241,-84.75420515723889
90,-203.26373369721793,-120.87247668629198,-203.86223336523034,-143.5606495985761,-580.1258209761329,-85.86042233318265
91,-204.91713735913697,-120.5516335250712,-203.70212522746297,-144.08106573119028,-581.4472373837511,-82.43971254262983
92,-208.87422630376193,-118.62427016206917,-202.71967615279976,-144.98164210113663,-577.9217388779426,-84.71738062228778
93,-208.41627424877865,-116.30296827864817,-202.7864572867983,-144.49687184730564,-575.8722389156402,-86.71591501883513
94,-212.35244476106317,-115.28250774858375,-202.53836093872607,-144.44792599248322,-575.3468444817875,-87.97362487509828
95,-214.36521189814277,-113.05094639451173,-202.1060412502871,-145.38404673594528,-578.6343990308472,-85.30318006401752
96,-211.93085528937044,-112.47713790940321,-205.3979962643283,-146.4279554873168,-580.6519934531652,-82.88478613645643
