,All Rewards
302,53.57242071650867
303,-84.95285215198378
304,-47.76890942289983
305,70.65185000775068
306,142.79020729480573
307,46.665818278398206
308,-102.09295324441977
309,-87.46451694422959
310,-64.27420870805301
311,152.88127640053006
312,104.7808057598053
313,-94.29464209142388
314,-121.45046556522738
315,-72.29153379007141
316,64.79001823458765
317,8.82138665929917
318,43.510051326422676
319,47.473604896335665
320,19.896185801546785
321,-143.3801538702072
322,111.00207814021422
323,98.67769737243316
324,-64.02339431099978
325,-100.32192220154474
326,-111.92272204444552
327,101.5554023661178
328,-160.44966666751031
329,80.42197747283696
330,108.79614395305143
331,-85.17942052471795
332,24.73306736283413
333,101.0715429644495
334,62.84901835647944
335,113.03539188223766
336,83.18007807999815
337,90.1356488804585
338,109.94064071994201
339,108.99721888733322
340,98.28745024630165
341,144.68304626870227
342,149.4177897780307
343,-163.688639572781
344,-126.29602308122588
345,-143.02194629080515
346,89.95670712187085
347,78.57763678340291
348,59.710085401241315
349,-117.8887454295607
350,-212.63655001055298
351,-176.27771581330143
352,-94.21485885082315
353,-46.75370498473292
354,207.63062893695957
355,119.44988123868696
356,228.42174796508036
357,100.85803424816118
358,80.99697023748843
359,121.1009883582835
360,-125.80834056057256
361,-164.6923621544186
362,-55.7193159593257
363,168.10886063946938
364,145.05318885287866
365,156.31229596029794
366,185.70365475995544
367,148.8727156022674
368,94.67748118685587
369,67.71823357993479
370,-27.162342122653484
371,63.16523591447563
372,207.72208234806988
373,19.260700273218774
374,15.652603229220441
375,35.62098741836703
376,50.78539823219532
377,52.06329655264614
378,33.7910755262748
379,84.60098045184566
380,195.92871185618543
381,80.59304536573087
382,29.935309789412305
383,100.3414507483786
384,140.7111537267511
385,182.6551918385588
386,98.23793668702992
387,119.28155927153458
388,40.10484404530399
389,172.1990334567748
390,-58.263477401009354
391,151.49763225713266
392,-66.32696915047484
393,174.35711229457047
394,147.46359898704858
395,-47.70075441115519
396,0.7496467197180985
397,133.08264635805187
398,171.52374986039055
399,152.35239913453515
400,-100.0247012167018
401,195.40320157152445
402,-60.18330561144887
403,95.47863032990512
404,-111.70593328746774
405,-41.63979590999699
406,184.7870477970506
407,-137.59174874691055
408,144.20817545512645
409,-125.18229418767086
410,-131.8423291024923
411,-3.986456206725208
412,86.78109296388969
413,103.94720415224913
414,144.14216743735085
415,-109.5952758409568
416,138.03803201038005
417,111.02832565239878
418,178.66538258633395
419,-22.55683547892062
420,63.28149675419631
421,87.12233757270317
422,111.48049137147639
423,92.6828307113351
424,111.36104989040541
425,104.10637955028955
426,-164.59717696604926
427,94.5026283015724
428,74.62573924991524
429,169.22053646535676
430,-46.30815545450287
431,11.45597891361031
432,142.6888298210399
433,22.925896015455685
434,81.99114227035551
435,-81.89429049280471
436,48.612180825753704
437,-96.2524404930445
438,42.824905807851074
439,-84.32939207281116
440,55.46358759090188
441,152.52437419374746
442,44.92977465323074
443,96.5499185315708
444,124.94106920228363
445,121.53091409124963
446,200.15886257757256
447,-130.13016773403095
448,191.25526795735124
449,-88.6844549244373
450,69.32401416371484
451,101.8630473359934
452,50.3474584052288
453,-65.21115352011361
454,79.8753066636692
455,-42.60777351429404
456,31.601237912322908
457,-47.247116507799205
458,-108.86135253741718
459,188.1340173481492
460,168.84260799156522
461,-36.68746358888214
462,64.66311449110518
463,126.16042055944459
464,-81.73398259049604
465,-110.19490812221684
466,-93.3242612872118
467,-85.84380583532719
468,168.0390985387515
469,-58.69208151515858
470,129.4714656703333
471,55.69437625190304
472,82.06098253253185
473,-152.86525279445752
474,180.23460768020738
475,-118.58452870269792
476,-119.12867916754522
477,103.56667099810409
478,191.19514653000326
479,-130.8529375213361
480,2.484679918039613
481,233.44265521137524
482,61.6781221631065
483,-79.9811498196651
484,122.20312237566338
485,79.99095643270033
486,107.86666347097037
487,-54.440044676174026
488,36.32895407843806
489,227.1896426908959
490,-72.16849879860123
491,137.70025642965027
492,-69.55037627317199
493,124.15648033772088
494,156.84006048515545
495,141.63906734155196
496,-6.844156934407721
497,-48.00282214300428
498,115.66165944308084
499,82.73879479276476
500,-60.219091945392854
501,-94.99941116083735
502,194.0824106093168
503,187.68790154783835
504,110.61499116073814
505,93.80684107888048
506,-28.111794979857976
507,-7.461187735897587
508,84.20332325390311
509,155.34390080928492
510,58.318983212978104
511,-29.477773184505878
512,65.0527688069498
513,-83.6175177535402
514,75.75927703945085
515,-56.41030899357793
516,-13.731691974596416
517,67.72094065814385
518,67.89471197999703
519,25.415003983562144
520,-59.735050211920864
521,81.1357165442139
522,-113.4071088907136
523,-88.28949416187486
524,80.51890545818009
525,70.07655410459839
526,-94.54438662221396
527,-86.84194721221462
528,-89.77797022872745
529,-116.01221123390204
530,-119.56929057636138
531,145.885695972139
532,187.49589632359354
533,135.51930557476962
534,116.7880532679764
535,-133.89121199260703
536,68.54512735082791
537,81.58777190608512
538,-29.459028509405158
539,-47.28820669745086
540,206.5698074499893
541,-78.88612876680816
542,-54.987452288958515
543,67.73891285374805
544,-53.182806652265896
