,Mean Rewards
704,100.27198015302156
705,99.97248371460823
706,100.26568001246191
707,99.12866974646728
708,100.0246776645799
709,100.66884328129328
710,100.81810345039595
711,102.5357218812234
712,102.15935115422397
713,102.35847617577355
714,103.79882921611016
715,104.73618111418988
716,106.49701540605741
717,107.55448322427165
718,108.75883548765432
719,108.0658715879444
720,107.5634948924826
721,108.05654778117268
722,108.37797200650225
723,108.85808492299326
724,109.28202936735066
725,109.82834804844327
726,109.77784530926246
727,109.21478631349531
728,109.66958339136299
729,109.10600954799892
730,108.27411630715596
731,107.99490478206371
732,110.04023258920552
733,112.24428081928544
734,111.70675045691485
735,112.5909554531103
736,114.41176724295401
737,113.11419768858273
738,114.4503818137239
739,115.07651587038787
740,117.01242982258174
741,117.50085892934
742,118.90006986964706
743,120.31250499896707
744,119.55216909070435
745,120.06454334622725
746,121.57209549370339
747,123.14199240641774
748,123.98955987846252
749,124.20022843171665
750,125.86913167727512
751,124.4339830482668
752,125.82125884387291
753,127.69974623119847
754,128.23968277554334
755,129.60211577442445
756,129.46554732454237
757,129.9455033066548
758,130.80932841527863
759,132.63089540599557
760,134.3968119893117
761,135.78091242405893
762,137.36375958823643
763,138.9303618984926
764,138.6642822227897
765,139.76697504222042
766,139.2226703561617
767,139.7339440983755
768,140.78267578803133
769,142.39425748228234
770,143.2952794326199
771,144.6832516476994
772,145.5002311571291
773,143.7928566501777
774,144.204337269271
775,145.01903114599142
776,146.27746097408735
777,146.92360584864682
778,149.47321412145854
779,147.86785217877156
780,148.01035357904428
781,146.31174478403113
782,147.5406359012688
783,147.56830693989042
784,148.62903959909056
785,151.090364989062
786,152.7921907984893
787,154.28289368820435
788,155.79962472881542
789,155.45601075024155
790,155.77942041414116
791,155.74300180729662
792,155.41205888444776
793,156.17174367460305
794,156.42829874019185
795,157.91303920506346
796,159.01598318622842
797,158.92155973651975
798,159.10970562743506
799,160.75863384503083
800,162.7722442111568
801,160.9890714689823
802,162.20420459406782
803,163.73402803232048
804,164.99422486616254
805,164.54880403100063
806,167.59034190820992
807,169.4290640195733
808,170.40137159437472
809,170.80517751463725
810,171.71580843641013
811,172.38029501866293
812,172.6377021761563
813,173.8972695615504
814,174.30625282385202
815,175.33867334270278
816,176.4352589852046
817,177.17687517054026
818,176.02594787831111
819,177.067511714665
820,177.87351223074415
821,176.1280340665374
822,177.28528694715263
823,178.04427942397007
824,178.90889349447968
825,180.47097826431093
826,181.72350075348055
827,182.3758567360205
828,180.7287763321132
829,181.86420811154224
830,183.21631751116252
831,181.3042940053721
832,180.97083999442302
833,181.32370051700525
834,181.96575108637884
835,182.2788328839476
836,182.1623870558793
837,184.97526774994375
838,185.25890381060802
839,184.73666356913466
840,184.6696527265457
841,184.05308694267882
842,183.50840709297714
843,183.64345727937192
844,185.77810246851612
845,184.47840473866952
846,184.39191725395838
847,184.86330629417964
848,185.3156879148951
849,185.4731044022487
850,185.06258246136815
851,187.25554383516035
852,186.77552013478487
853,186.72970889235404
854,187.3002871900393
855,187.40699837541683
856,188.79526008382683
857,189.96641914149413
858,189.8606270947798
859,189.83399778486088
860,189.7935901245442
861,189.82108871039628
862,189.78855819674504
863,189.2508311035694
864,190.33548596782774
865,190.6297052780813
866,189.7349376872673
867,189.9688185117559
868,190.0263744256529
869,189.84072327338492
870,190.0554360692425
871,189.8613513157963
872,189.70283297389648
873,192.3888364266125
874,190.71238035566228
875,191.20842196026726
876,191.2853863071366
877,191.02416568208406
878,191.28619344012023
879,193.7325334760124
880,192.51428382821732
881,195.43154386636655
882,195.49346008172753
883,195.55074040434582
884,195.83399131813982
885,195.7498689663102
886,192.8213969248639
887,192.78615671948518
888,192.46461024544044
889,191.393788473278
890,192.3743799497636
891,193.66814005740474
892,191.8365210862303
893,192.3202494484636
894,192.1445528605496
895,192.12001382079404
896,189.42295720758116
897,188.61696667193755
898,190.0318414382646
899,189.86087863994854
900,189.3199969977763
901,190.88577382805977
902,191.30778616753616
903,190.9058372958648
904,190.79196097136227
905,189.4534917031577
906,189.1814788922914
907,188.80224809730396
908,188.6754329486439
909,190.78088587206963
910,190.99765338456342
911,188.78370831170298
912,188.664764738882
913,188.75452976385813
914,186.35821702764173
915,186.06206220790875
916,186.09800868789063
917,186.3068071808891
918,188.8989465670182
919,188.82066379645718
920,186.03859893334146
921,188.2258093197319
922,187.76384743360512
923,188.07586177992522
924,188.31500059121433
925,188.5921673719673
926,188.49642967443071
927,188.68241409285054
928,191.51192983319666
929,191.98940753452086
930,192.37011107143425
931,195.04036648242771
932,195.41716181898758
933,195.75313641242496
934,195.73329719505142
935,193.28261439386486
936,193.4096068291735
937,193.47825969641264
938,190.5313245172199
939,190.90620543167657
940,190.8308656544084
941,191.21102760402238
942,191.10218704983288
943,190.93588450763633
944,188.39073838958902
945,190.90273539105405
946,190.411879918879
947,187.3775729324715
948,184.484823588651
949,184.3623135405973
950,184.79090123153466
951,185.77072323178302
952,183.809085096988
953,181.8245725760975
954,181.9345080325967
955,181.83175768954425
956,181.91973442602068
957,181.84541897504133
958,182.18591431832385
959,181.84144552732658
960,181.60930986210536
961,181.06912259072448
962,177.88004937433578
963,178.11736512252367
964,178.0970282495699
965,178.02135620497748
966,180.85317077276991
967,180.61176020251986
968,181.01363325653045
969,180.96594228377194
970,181.06792579447045
971,181.091925157416
972,179.17057663355456
973,179.04064788799147
974,178.2033173074127
975,175.57371065489858
976,173.35002699231006
977,173.67465025029352
978,173.20094372696127
979,171.086246447396
980,170.4545948795814
981,170.97297003145815
982,171.16216162133708
983,168.93526633938833
984,166.64446408974084
985,164.36322166847268
986,164.96825137274564
987,165.26603908675762
988,165.4106093170777
989,168.45457900096469
990,166.41948019704375
991,163.79446586538464
992,166.15665845777957
993,166.41798423659418
994,166.5114167337801
995,163.1848083631715
996,163.5294593767404
997,164.66407043249757
998,161.43259525491172
999,160.73620405529513
1000,156.93696393987054
1001,155.70527450147162
1002,155.28267992715757
1003,152.7979959607971
1004,152.49241114927955
1005,154.43280626266574
1006,154.63541549943346
1007,154.68848716628406
1008,152.16621975857245
1009,152.40527919010202
1010,149.5111433435318
1011,152.4917420409817
1012,153.53608451739737
1013,151.06755069614894
1014,150.287355855157
1015,150.48929879803006
1016,148.08039820033412
1017,145.27067030183636
1018,143.02819956529694
1019,143.3625549429242
1020,146.147314590506
1021,146.73576202416214
1022,147.33228714447807
1023,147.32784015047858
1024,147.48069115819945
1025,144.97212936570477
1026,142.78845002806997
1027,142.84257083911126
1028,143.13857178085595
1029,143.12671471391377
1030,142.48452313627496
1031,139.44782406127678
1032,135.37860513836713
1033,134.69184842927598
1034,134.43712030806702
1035,136.67649990028838
1036,136.45508131592692
1037,136.59973249605633
1038,139.15164759798924
1039,136.070009022798
1040,135.9323683889448
1041,136.04539576056246
